#,Date-Time (MST),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
315,12/16/2023 03:16:06,-14.82,90.03,-16.12,,,
316,12/16/2023 03:19:06,-14.91,89.75,-16.24,,,
317,12/16/2023 03:22:06,-15.06,89.83,-16.38,,,
318,12/16/2023 03:25:06,-15.05,91.84,-16.10,,,
319,12/16/2023 03:28:06,-15.00,92.18,-16.00,,,
320,12/16/2023 03:31:06,-15.10,91.49,-16.20,,,
321,12/16/2023 03:34:06,-15.24,90.97,-16.41,,,
322,12/16/2023 03:37:06,-15.31,90.67,-16.51,,,
323,12/16/2023 03:40:06,-15.38,90.81,-16.57,,,
324,12/16/2023 03:43:06,-15.49,90.26,-16.75,,,
325,12/16/2023 03:46:06,-15.44,91.62,-16.51,,,
326,12/16/2023 03:49:06,-15.10,93.08,-15.99,,,
327,12/16/2023 03:52:06,-14.96,92.73,-15.90,,,
328,12/16/2023 03:55:06,-15.02,91.78,-16.08,,,
329,12/16/2023 03:58:06,-15.17,90.81,-16.35,,,
330,12/16/2023 04:01:06,-15.20,91.51,-16.29,,,
331,12/16/2023 04:04:06,-15.20,91.66,-16.27,,,
332,12/16/2023 04:07:06,-15.14,91.84,-16.19,,,
333,12/16/2023 04:10:06,-15.10,91.55,-16.19,,,
334,12/16/2023 04:13:06,-15.03,91.85,-16.08,,,
335,12/16/2023 04:16:06,-15.10,90.86,-16.28,,,
336,12/16/2023 04:19:06,-15.06,92.28,-16.06,,,
337,12/16/2023 04:22:06,-15.15,90.44,-16.38,,,
338,12/16/2023 04:25:06,-15.21,90.88,-16.39,,,
339,12/16/2023 04:28:06,-15.23,91.22,-16.36,,,
340,12/16/2023 04:31:06,-15.33,90.78,-16.52,,,
341,12/16/2023 04:34:06,-15.49,90.24,-16.75,,,
342,12/16/2023 04:37:06,-15.60,90.34,-16.84,,,
343,12/16/2023 04:40:06,-15.76,90.21,-17.02,,,
344,12/16/2023 04:43:06,-15.78,90.17,-17.04,,,
345,12/16/2023 04:46:06,-15.89,90.26,-17.14,,,
346,12/16/2023 04:49:06,-15.83,91.82,-16.88,,,
347,12/16/2023 04:52:06,-15.52,93.36,-16.37,,,
348,12/16/2023 04:55:06,-15.22,93.67,-16.04,,,
349,12/16/2023 04:58:06,-15.25,91.77,-16.31,,,
350,12/16/2023 05:01:06,-15.35,90.93,-16.52,,,
351,12/16/2023 05:04:06,-15.40,90.82,-16.59,,,
352,12/16/2023 05:07:06,-15.46,90.88,-16.63,,,
353,12/16/2023 05:10:06,-15.56,89.79,-16.88,,,
354,12/16/2023 05:13:06,-15.56,91.31,-16.68,,,
355,12/16/2023 05:16:06,-15.59,91.39,-16.69,,,
356,12/16/2023 05:19:06,-15.59,91.59,-16.67,,,
357,12/16/2023 05:22:06,-15.64,91.23,-16.77,,,
358,12/16/2023 05:25:06,-15.69,91.15,-16.83,,,
359,12/16/2023 05:28:06,-15.73,91.72,-16.79,,,
360,12/16/2023 05:31:06,-15.77,90.97,-16.93,,,
361,12/16/2023 05:34:06,-15.77,91.38,-16.88,,,
362,12/16/2023 05:37:06,-15.81,90.52,-17.03,,,
363,12/16/2023 05:40:06,-15.91,90.01,-17.19,,,
364,12/16/2023 05:43:06,-15.98,89.90,-17.28,,,
365,12/16/2023 05:46:06,-15.97,91.11,-17.11,,,
366,12/16/2023 05:49:06,-16.00,90.91,-17.17,,,
367,12/16/2023 05:52:06,-15.98,91.32,-17.10,,,
368,12/16/2023 05:55:06,-16.06,90.58,-17.27,,,
369,12/16/2023 05:58:06,-16.19,89.88,-17.49,,,
370,12/16/2023 06:01:06,-16.24,89.95,-17.53,,,
371,12/16/2023 06:04:06,-16.24,90.81,-17.42,,,
372,12/16/2023 06:07:06,-16.34,90.67,-17.53,,,
373,12/16/2023 06:10:06,-16.29,91.59,-17.37,,,
374,12/16/2023 06:13:06,-16.26,91.35,-17.37,,,
375,12/16/2023 06:16:06,-16.33,89.78,-17.64,,,
376,12/16/2023 06:19:06,-16.29,90.40,-17.52,,,
377,12/16/2023 06:22:06,-16.26,90.58,-17.47,,,
378,12/16/2023 06:25:06,-16.22,90.50,-17.44,,,
379,12/16/2023 06:28:06,-16.24,89.67,-17.57,,,
380,12/16/2023 06:31:06,-16.35,89.54,-17.69,,,
381,12/16/2023 06:34:06,-16.37,89.66,-17.69,,,
382,12/16/2023 06:37:06,-16.44,89.29,-17.82,,,
383,12/16/2023 06:40:06,-16.44,90.16,-17.70,,,
384,12/16/2023 06:43:06,-16.32,91.80,-17.36,,,
385,12/16/2023 06:46:06,-16.26,90.04,-17.54,,,
386,12/16/2023 06:49:06,-16.26,90.00,-17.54,,,
387,12/16/2023 06:52:06,-16.29,89.98,-17.58,,,
388,12/16/2023 06:55:06,-16.29,89.98,-17.58,,,
389,12/16/2023 06:58:06,-16.28,89.87,-17.58,,,
390,12/16/2023 07:01:06,-16.27,89.69,-17.60,,,
391,12/16/2023 07:04:06,-16.39,89.19,-17.78,,,
392,12/16/2023 07:07:06,-16.49,88.41,-17.98,,,
393,12/16/2023 07:10:06,-16.57,89.34,-17.94,,,
394,12/16/2023 07:13:06,-16.62,89.64,-17.94,,,
395,12/16/2023 07:16:06,-16.70,89.60,-18.03,,,
396,12/16/2023 07:19:06,-16.71,90.08,-17.98,,,
397,12/16/2023 07:22:06,-16.73,89.65,-18.06,,,
398,12/16/2023 07:25:06,-16.80,89.00,-18.21,,,
399,12/16/2023 07:28:06,-16.88,88.86,-18.31,,,
400,12/16/2023 07:31:06,-16.94,89.02,-18.34,,,
401,12/16/2023 07:34:06,-16.86,89.71,-18.18,,,
402,12/16/2023 07:37:06,-16.82,90.76,-18.00,,,
403,12/16/2023 07:40:06,-16.73,90.49,-17.95,,,
404,12/16/2023 07:43:06,-16.65,90.93,-17.81,,,
405,12/16/2023 07:46:06,-16.50,91.46,-17.59,,,
406,12/16/2023 07:49:06,-16.26,91.51,-17.35,,,
407,12/16/2023 07:52:06,-15.91,92.28,-16.90,,,
408,12/16/2023 07:55:06,-15.63,91.21,-16.76,,,
409,12/16/2023 07:58:06,-15.32,91.06,-16.47,,,
410,12/16/2023 08:01:06,-15.03,91.27,-16.16,,,
411,12/16/2023 08:04:06,-14.69,91.19,-15.82,,,
412,12/16/2023 08:07:06,-14.22,92.63,-15.18,,,
